,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,url_uno,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,url_otro,Large_apartment,Medium_apartment,Small_apartment,url,cities,Description
31,64,0.40,1,12,26,University of Bologna,https://teleport.org/cities/bologna/,$66.00,$1.70,$45.00,$20.00,https://teleport.org/cities/bologna/,$1200,$930,$670,https://teleport.org/cities/bologna/,Bologna,"Bologna, Italy, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
32,49,0.70,3,31,19,University of Bordeaux,https://teleport.org/cities/bordeaux/,$50.00,$2.60,$33.00,$18.00,https://teleport.org/cities/bordeaux/,$1300,$1000,$680,https://teleport.org/cities/bordeaux/,Bordeaux,"Bordeaux, France, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.
Bordeaux is one of the top ten city matches for 0.2% of Teleport users."
33,103,0.16,3,35,24,Massachusetts Institute of Technology,https://teleport.org/cities/boston/,$74.00,$2.80,$79.00,$14.00,https://teleport.org/cities/boston/,$2900,$2500,$2100,https://teleport.org/cities/boston/,Boston,"One of the oldest and most historic cities in the US, Boston is a center of higher education with some of the top universities in the world. It has also developed a vibrant technology scene and is home to numerous venture capital firms, all supporting high rates of innovation and entrepreneurship. Add its tolerant environment, great quality of healthcare and beautiful New England nature, and you've got an enticing city that attracts talent from around the world.
Boston is one of the top ten city matches for 12.8% of Teleport users."
34,169,0.11,12,103,24,University of Colorado Boulder,https://teleport.org/cities/boulder/,$72.00,$2.60,$89.00,$13.00,https://teleport.org/cities/boulder/,$2300,$1800,$1300,https://teleport.org/cities/boulder/,Boulder,"Boulder, Colorado, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Boulder is one of the top ten city matches for 13.4% of Teleport users."
35,7,0.12,17,112,24,Montana State University,https://teleport.org/cities/bozeman/,$20.00,$2.00,$11.00,$58.00,https://teleport.org/cities/bozeman/,$1600,$1300,$980,https://teleport.org/cities/bozeman/,Bozeman,"Bozeman, Montana, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare."
36,149,0.33,2,8,34,Comenius University in Bratislava,https://teleport.org/cities/bratislava/,$38.00,$0.85,$36.00,$6.90,https://teleport.org/cities/bratislava/,$1000,$820,$630,https://teleport.org/cities/bratislava/,Bratislava,"Bratislava, Slovakia, features a very safe living environment. Our data reflects that this city has a good ranking in housing and cost of living.
Bratislava is one of the top ten city matches for 1.7% of Teleport users."
37,176,0.66,0,6,17,University of Sussex,https://teleport.org/cities/brighton/,$14.00,$2.80,$80.87,$99.00,https://teleport.org/cities/brighton/,No hay dato,No hay dato,No hay dato,https://teleport.org/cities/brighton/,Brighton,"Brighton, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare."
38,59,0.17,1,24,16,University of Queensland,https://teleport.org/cities/brisbane/,$41.00,$3.40,$100.00,$14.00,https://teleport.org/cities/brisbane/,$1800,$1500,$1300,https://teleport.org/cities/brisbane/,Brisbane,"Brisbane, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Brisbane is one of the top ten city matches for 0.7% of Teleport users."
39,80,0.59,0,6,17,University of Bristol,https://teleport.org/cities/bristol/,$40.00,$3.00,$88.00,$15.00,https://teleport.org/cities/bristol/,$2000,$1600,$1200,https://teleport.org/cities/bristol/,Bristol,"Bristol, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and tolerance."
40,1,0.42,2,17,21,Masaryk University,https://teleport.org/cities/brno/,$37.00,$0.77,$26.00,$6.10,https://teleport.org/cities/brno/,$860,$700,$540,https://teleport.org/cities/brno/,Brno,"Brno, Czechia, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and healthcare."
41,189,0.69,2,17,15,KU Leuven,https://teleport.org/cities/brussels/,$49.00,$2.40,$64.00,$19.00,https://teleport.org/cities/brussels/,$1400,$1200,$880,https://teleport.org/cities/brussels/,Brussels,"By Katre Liis Kallas

Life in Brussels is a culturally rich, central-European adventure offering a high quality of life. Home to much of the European Union infrastructure, it attracts a diverse population, while maintaining its distinct identity. You can go hiking in the woods, attend various cultural events and talk to people of multiple nationalities in a single day. The key districts of Brussels are well connected by a quality transportation network, but its compact size also allows for navigation by foot and all the opportunities that creates.
Brussels is one of the top ten city matches for 0.4% of Teleport users."
42,66,0.36,0,1,40,University of Bucharest,https://teleport.org/cities/bucharest/,$52.00,$0.76,$17.00,$7.50,https://teleport.org/cities/bucharest/,$610,$490,$370,https://teleport.org/cities/bucharest/,Bucharest,"Bucharest, Romania, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Bucharest is one of the top ten city matches for 6.1% of Teleport users."
43,77,0.50,1,6,31,Semmelweis University,https://teleport.org/cities/budapest/,$60.00,$0.95,$40.00,$6.50,https://teleport.org/cities/budapest/,$820,$660,$500,https://teleport.org/cities/budapest/,Budapest,"Budapest, Hungary, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, business freedom and safety.
Budapest is one of the top ten city matches for 2.4% of Teleport users."
44,67,0.41,6,10,40,391.41,https://teleport.org/cities/buenos-aires/,$52.00,$1.40,$16.00,$9.20,https://teleport.org/cities/buenos-aires/,$750,$620,$480,https://teleport.org/cities/buenos-aires/,Buenos-Aires,"Buenos Aires, Argentina, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, leisure & culture and tolerance.
Buenos Aires is one of the top ten city matches for 1.9% of Teleport users."
45,24,0.12,4,26,24,University at Buffalo,https://teleport.org/cities/buffalo/,$24.00,$2.20,$68.00,$13.00,https://teleport.org/cities/buffalo/,$1100,$980,$830,https://teleport.org/cities/buffalo/,Buffalo,"Buffalo, New York, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
46,81,0.35,33,4,No hay dato,Cairo University,https://teleport.org/cities/cairo/,$30.00,$1.00,$14.00,$5.80,https://teleport.org/cities/cairo/,$310,$250,$190,https://teleport.org/cities/cairo/,Cairo,"Cairo, Egypt, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety."
47,59,0.19,2,31,5,University of Calgary,https://teleport.org/cities/calgary/,$55.00,$3.00,$83.00,$14.00,https://teleport.org/cities/calgary/,$1400,$1200,$990,https://teleport.org/cities/calgary/,Calgary,"Calgary, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Calgary is one of the top ten city matches for 4.2% of Teleport users."
48,135,0.59,0,6,17,University of Cambridge,https://teleport.org/cities/cambridge/,$58.00,$3.00,$75.00,$19.00,https://teleport.org/cities/cambridge/,$2300,$1900,$1400,https://teleport.org/cities/cambridge/,Cambridge,"Cambridge, United Kingdom, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, business freedom and healthcare."
49,22,0.26,33,13,No hay dato,University of Cape Town,https://teleport.org/cities/cape-town/,$41.00,$1.50,$30.00,$9.00,https://teleport.org/cities/cape-town/,$1400,$1100,$780,https://teleport.org/cities/cape-town/,cape-town,"Cape Town, South Africa, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, environmental quality and outdoors.
Cape Town is one of the top ten city matches for 0.5% of Teleport users."
50,46,No hay dato,59,11,No hay dato,No hay dato,https://teleport.org/cities/caracas/,$4.30,$2.90,$4.50,$4.40,https://teleport.org/cities/caracas/,No hay dato,No hay dato,No hay dato,https://teleport.org/cities/caracas/,Caracas,"Caracas, Venezuela, differentiates itself with low living costs. When considering your preferences, this city does not have any category with a high rating."
51,80,0.59,0,6,17,Cardiff University,https://teleport.org/cities/cardiff/,$39.00,$2.50,$75.00,$14.00,https://teleport.org/cities/cardiff/,$1200,$1000,$790,https://teleport.org/cities/cardiff/,Cardiff,"Cardiff, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
52,87,0.16,33,5,No hay dato,No hay dato,https://teleport.org/cities/casablanca/,$35.00,$1.80,$24.00,$6.50,https://teleport.org/cities/casablanca/,$720,$590,$450,https://teleport.org/cities/casablanca/,Casablanca,"Casablanca, Morocco, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety."
53,20,0.11,16,108,16,478.04,https://teleport.org/cities/charleston/,$54.00,$2.10,$55.00,$12.00,https://teleport.org/cities/charleston/,$1900,$1600,$1300,https://teleport.org/cities/charleston/,Charleston,"Charleston, South Carolina, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality."
54,141,0.11,12,95,16,478.04,https://teleport.org/cities/charlotte/,$28.00,$2.30,$82.00,$14.00,https://teleport.org/cities/charlotte/,$1600,$1300,$1100,https://teleport.org/cities/charlotte/,Charlotte,"Charlotte, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.
Charlotte is one of the top ten city matches for 2.6% of Teleport users."
55,8,0.12,16,96,16,478.04,https://teleport.org/cities/chattanooga/,$41.00,$2.30,$30.00,$13.00,https://teleport.org/cities/chattanooga/,$1300,$1100,$930,https://teleport.org/cities/chattanooga/,Chattanooga,"Chattanooga, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality."
56,40,0.60,0,4,No hay dato,Indian Institute of Technology Madras,https://teleport.org/cities/chennai/,$27.00,$2.00,$14.00,$3.00,https://teleport.org/cities/chennai/,No hay dato,No hay dato,No hay dato,https://teleport.org/cities/chennai/,Chennai,"Chennai, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and safety."
57,26,0.15,1,16,47,Chiang Mai University,https://teleport.org/cities/chiang-mai/,$39.00,$1.50,$34.00,$2.90,https://teleport.org/cities/chiang-mai/,$600,$450,$300,https://teleport.org/cities/chiang-mai/,Chiang-Mai,"Chiang Mai, Thailand, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.
Chiang Mai is one of the top ten city matches for 0.3% of Teleport users."
58,217,0.19,9,80,24,University of Chicago,https://teleport.org/cities/chicago/,$59.00,$2.40,$94.00,$14.00,https://teleport.org/cities/chicago/,$2100,$1700,$1300,https://teleport.org/cities/chicago/,Chicago,"Chicago, Illinois, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Chicago is one of the top ten city matches for 5.5% of Teleport users."
59,25,0.13,1,7,No hay dato,40,https://teleport.org/cities/chisinau/,$50.00,$1.00,$9.30,$5.20,https://teleport.org/cities/chisinau/,$510,$390,$270,https://teleport.org/cities/chisinau/,Chisinau,"Chisinau, Moldova, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.
Chisinau is one of the top ten city matches for 2.1% of Teleport users."
60,20,No hay dato,1,23,12,University of Canterbury,https://teleport.org/cities/christchurch/,$42.00,$2.70,$81.00,$12.00,https://teleport.org/cities/christchurch/,$1400,$1100,$870,https://teleport.org/cities/christchurch/,Christchurch,"Christchurch, New Zealand, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare."
61,48,0.11,11,91,24,University of Cincinnati,https://teleport.org/cities/cincinnati/,$31.00,$2.10,$100.00,$12.00,https://teleport.org/cities/cincinnati/,$1400,$1100,$840,https://teleport.org/cities/cincinnati/,Cincinnati,"Cincinnati, Ohio, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.
Cincinnati is one of the top ten city matches for 0.2% of Teleport users."
62,56,0.11,11,91,24,Case Western Reserve University,https://teleport.org/cities/cleveland/,$36.00,$1.70,$91.00,$13.00,https://teleport.org/cities/cleveland/,$1200,$970,$770,https://teleport.org/cities/cleveland/,Cleveland,"Cleveland, Ohio, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality."
63,18,0.19,0,1,40,Babeş-Bolyai University,https://teleport.org/cities/cluj-napoca/,$36.00,$0.79,$16.00,$6.20,https://teleport.org/cities/cluj-napoca/,$630,$490,$360,https://teleport.org/cities/cluj-napoca/,Cluj-Napoca,"Cluj-Napoca, Romania, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and taxation."
64,169,0.73,1,30,10,University of Cologne,https://teleport.org/cities/cologne/,$34.00,$1.30,$110.00,$13.00,https://teleport.org/cities/cologne/,$1600,$1200,$820,https://teleport.org/cities/cologne/,Cologne,"Cologne, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare."
65,11,0.12,12,103,16,478.04,https://teleport.org/cities/colorado-springs/,$41.00,$2.20,$64.00,$14.00,https://teleport.org/cities/colorado-springs/,$1500,$1200,$890,https://teleport.org/cities/colorado-springs/,Colorado-Springs,"Colorado Springs, Colorado, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance."
66,34,0.11,11,91,24,Ohio State University,https://teleport.org/cities/columbus/,$42.00,$2.30,$65.00,$13.00,https://teleport.org/cities/columbus/,$1400,$1100,$890,https://teleport.org/cities/columbus/,Columbus,"Columbus, Ohio, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.
Columbus is one of the top ten city matches for 0.9% of Teleport users."
67,126,0.69,1,12,13,University of Copenhagen,https://teleport.org/cities/copenhagen/,$38.00,$1.80,$76.00,$19.00,https://teleport.org/cities/copenhagen/,$2300,$1700,$1200,https://teleport.org/cities/copenhagen/,Copenhagen,"By Maria Rahamägi

Copenhagen is a city with a small-town vibe. The city is best explored by bike using one of the world's most developed bike-path system and its countless cafés, bars, and parks are never far away. The high standard of living, easy access to Internet, modern metro system and a thriving business environment attract talent from all over the world.
Copenhagen is one of the top ten city matches for 15.3% of Teleport users."
68,30,0.27,1,4,9,University College Cork,https://teleport.org/cities/cork/,$52.00,$2.60,$95.00,$13.00,https://teleport.org/cities/cork/,$1700,$1400,$1200,https://teleport.org/cities/cork/,Cork,"Cork, Ireland, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare."
69,23,No hay dato,21,8,52,Federal University of Paraná (UFPR),https://teleport.org/cities/curitiba/,$36.00,$1.30,$55.00,$5.90,https://teleport.org/cities/curitiba/,$560,$450,$350,https://teleport.org/cities/curitiba/,Curitiba,"Curitiba, Brazil, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, environmental quality and leisure & culture."
70,190,0.14,11,123,24,University of Texas at Dallas,https://teleport.org/cities/dallas/,$44.00,$2.30,$76.00,$13.00,https://teleport.org/cities/dallas/,$1800,$1400,$1100,https://teleport.org/cities/dallas/,Dallas,"Dallas, Texas, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Dallas is one of the top ten city matches for 6.0% of Teleport users."
71,25,0.11,33,1,No hay dato,No hay dato,https://teleport.org/cities/dar-es-salaam/,$88.00,$1.20,$32.00,$5.20,https://teleport.org/cities/dar-es-salaam/,$1400,$920,$480,https://teleport.org/cities/dar-es-salaam/,Dar-es-Salaam,"Dar es Salaam, Tanzania, differentiates itself with low living costs. This urban area is consistently ahead in housing."
72,97,0.67,0,4,No hay dato,Indian Institute of Technology Delhi,https://teleport.org/cities/delhi/,$36.00,$1.70,$20.00,$6.10,https://teleport.org/cities/delhi/,$460,$360,$260,https://teleport.org/cities/delhi/,Delhi,"Delhi, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and venture capital.
Delhi is one of the top ten city matches for 2.5% of Teleport users."
