,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Large_apartment,Medium_apartment,Small_apartment,cities,Description,Poblacion,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita_uno,Growth,GDP_per_capita_otro,Unemployment,url,Average_Annual_percent_sunshine
10,104,0.26,2,23,35,National and Kapodistrian University of Athens,$42.00,$1.80,$40.00,$16.00,$690,$560,$430,Athens,"Athens, the birthplace of democracy, is a city with deep roots in history and culture. Its grand architecture, Mediterranean climate and millions of annual visitors feed a thriving tourism industry, creating thousands of Athens jobs. Shipping, finance and international trade are also important elements of Athens, which offers affordable housing and proximity to countless recreational and cultural activities .
Athens is one of the top ten city matches for 0.7% of Teleport users.","3,868,500",0.53,✖ Single only,✔ Legal,✔ Civil unions,0.24,50,96,78,100,EUR,$25858.77,-2%,"$25,859",25%,https://teleport.org/cities/athens/,266.7
11,217,0.15,13,118,24,Georgia Institute of Technology,$37.00,$2.20,$96.00,$15.00,$1800,$1400,$1100,Atlanta,"Atlanta, Georgia, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Atlanta is one of the top ten city matches for 6.5% of Teleport users.","2,928,400",70.00,✔ Equal,✖ No protections,0.10,0.08,308,291,168,202,USD,$54596.65,10%,"$54,597",5%,https://teleport.org/cities/atlanta/,110
12,45,No hay dato,1,23,12,University of Auckland,$48.00,$3.80,$140.00,$13.00,$2000,$1600,$1200,Auckland,"Auckland, New Zealand, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Auckland is one of the top ten city matches for 1.7% of Teleport users.","1,359,700",93.65,✔ Equal,✔ Sexual orientation and gender identity,0.52,0.15,69,54,30,63,NZD,$35151.75,6%,"$35,152",5%,https://teleport.org/cities/auckland/,182.9
13,44,0.11,11,123,24,University of Texas at Austin,$51.00,$3.00,$50.00,$14.00,$2000,$1600,$1300,Austin,"Austin, Texas, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Austin is one of the top ten city matches for 9.0% of Teleport users.","1,531,800",64.44,✔ Equal,✖ No protections,0.71,0.08,149,132,54,71,USD,$54596.65,16%,"$54,597",5%,https://teleport.org/cities/austin/,116
14,39,0.20,0,4,No hay dato,No hay dato,$38.00,$0.89,$9.90,$6.40,$430,$340,$250,Baku,"Baku, Azerbaijan, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.
Baku is one of the top ten city matches for 1.6% of Teleport users.","1,512,400",43.77,✔ Equal,✖ No protections,0.89,0.18,70,72,56,89,AZN,$17618.28,5%,"$17,618",6%,https://teleport.org/cities/baku/,12.7
15,42,0.14,1,1,48,362.42,$16.00,$2.10,$4.20,$43.00,$290,$230,$180,Bali,"Bali, Indonesia, features a very safe living environment. This urban area is consistently ahead in outdoors.
Bali is one of the top ten city matches for 0.7% of Teleport users.","1,356,600",0.03,Married couples only,Varies by Region,✖ Unrecognized,0.10,171,157,80,68,IDR,$10640.90,8%,"$10,641",6%,https://teleport.org/cities/bali/,207
16,0.48,No hay dato,10,119,24,Johns Hopkins University,$59.00,$2.10,$68.00,$13.00,$1900,$1600,$1200,Baltimore,This urban area is consistently ahead in healthcare.,38,96.88,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,No hay dato,0.43,No hay dato,80,No hay dato,No hay dato,https://teleport.org/cities/baltimore/,No hay dato
17,139,0.21,1,16,47,Mahidol University,$77.00,$1.80,$35.00,$4.20,$1300,$910,$540,Bangkok,"Bangkok, Thailand, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Bangkok is one of the top ten city matches for 2.7% of Teleport users.","9,052,100",61.15,✔ Equal,✔ Sexual orientation and gender identity,0.59,0.10,291,295,304,196,THB,$14354.30,10%,"$14,354",1%,https://teleport.org/cities/bangkok/,12.5
18,163,0.46,1,10,22,Autonomous University of Barcelona,$54.00,$0.98,$62.00,$14.00,$1500,$1200,$980,Barcelona,"Barcelona offers an engaging mix of relaxed lifestyle and innovative business environment, making it one of the most attractive startup scenes in Europe. The city also boasts a great cultural heritage and a modern, active social scene that highlights sports, city beaches and excellent local food. Adding the affordable high quality health services and good travel connections, and Barcelona will appeal to many.
Barcelona is one of the top ten city matches for 2.3% of Teleport users.","6,626,600",0.88,✔ Legal,✔ Legal,✔ Legal,0.21,98,169,89,141,EUR,$33711.41,0%,"$33,711",20%,https://teleport.org/cities/barcelona/,73
19,215,0.50,0,5,8,Peking University,$94.00,$0.90,$30.00,$6.70,$1700,$1300,$860,Beijing,"Beijing, China, is among the leading cities with a higher number of accelerators or available funding. According to our city rankings, this is a good place to live with high ratings in cost of living, travel connectivity and safety.
Beijing is one of the top ten city matches for 2.5% of Teleport users.","12,377,000",0.21,✖ Illegal,✔ Legal,✖ Not legal,0.17,60,65,59,55,CNY,$12879.85,18%,"$12,880",4%,https://teleport.org/cities/beijing/,12.7
20,45,No hay dato,1,21,51,American University of Beirut,$73.00,$1.30,$62.00,$19.00,$1400,$1000,$720,Beirut,"Beirut, Lebanon, is characterized by low taxes. Our data reflects that this city has a good ranking in housing and safety.","3,176,800",0.18,✔ Legal,Ambiguous,✖ Unrecognized,0.10,153,86,16,3,LBP,$17985.86,7%,"$17,986",No hay dato,https://teleport.org/cities/beirut/,12.6
21,38,0.59,0,6,17,Queen’s University Belfast,$40.00,$2.40,$83.00,$15.00,$1100,$950,$780,Belfast,"Belfast, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","344,600",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,58,47,17,13,GBP,$39510.94,1%,"$39,511",5%,https://teleport.org/cities/belfast/,209.5
22,51,0.14,3,58,0.39,University of Belgrade,$33.00,$0.73,$31.00,$9.40,$620,$490,$350,Belgrade,"Belgrade, Serbia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.
Belgrade is one of the top ten city matches for 2.0% of Teleport users.","1,737,800",75.85,✔ Equal,✔ Sexual orientation and gender identity,0.71,0.20,39,63,29,90,RSD,$13329.15,-1%,"$13,329",19%,https://teleport.org/cities/belgrade/,75
23,40,0.57,0,4,No hay dato,Indian Institute of Science,$30.00,$1.60,$24.00,$3.80,$430,$330,$230,Bengaluru,"Bengaluru, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and venture capital.
Bengaluru is one of the top ten city matches for 2.0% of Teleport users.","5,498,100",24.29,✔ Equal,Ambiguous,0.48,0.06,63,59,16,63,INR,$5855.31,16%,"$5,855",8%,https://teleport.org/cities/bengaluru/,12.5
24,49,0.37,2,31,13,University of Bergen,$54.00,$4.00,$90.00,$22.00,$1800,$1500,$1200,Bergen,"Bergen, Norway, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.","271,500",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.57,0.25,34,35,36,28,NOK,$66937.46,7%,"$66,937",5%,https://teleport.org/cities/bergen/,113
25,142,0.78,1,30,10,Humboldt University of Berlin,$41.00,$1.20,$100.00,$10.00,$1500,$1200,$850,Berlin,"Berlin is a sprawling, diverse metropolis, home to people from around the world. Although it is roughly nine times the size of Paris, Berlin's key districts are well-connected by public transport or cycling roads, and many even close enough for walking. The flexible work environment combined with easy access to venture capital attracts young people and entrepreneurs, making Berlin one of the most vibrant startup scenes in Europe.
Berlin is one of the top ten city matches for 30.8% of Teleport users.","8,690,300",0.87,✖ Step-child adoption only,✔ Legal,✔ Civil unions,0.19,90,109,159,48,EUR,$45888.42,0%,"$45,888",4%,https://teleport.org/cities/berlin/,160
26,152,0.70,3,24,11,University of Bern,$110.00,$1.70,$91.00,$23.00,$2200,$1700,$1200,Bern,"Bern, Switzerland, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Bern is one of the top ten city matches for 2.3% of Teleport users.","233,100",81.79,✔ Equal,✔ Sexual orientation and gender identity,0.88,0.08,28,54,32,18,CHF,$58087.21,1%,"$58,087",3%,https://teleport.org/cities/bern/,213
27,42,0.59,1,10,17,490.84,$56.00,$1.10,$51.00,$15.00,$1300,$1100,$840,Bilbao,"Bilbao, Spain, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.",42,0.88,✔ Legal,✔ Legal,✔ Legal,No hay dato,43,52,20,17,EUR,$33711.41,82,No hay dato,No hay dato,https://teleport.org/cities/bilbao/,35
28,102,0.69,0,6,17,University of Birmingham,$34.00,$3.00,$82.00,$16.00,$1600,$1500,$1300,Birmingham,"Birmingham, United Kingdom, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in safety and healthcare.
Birmingham is one of the top ten city matches for 0.6% of Teleport users.","2,715,300",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,83,96,43,92,GBP,$39510.94,3%,"$39,511",5%,https://teleport.org/cities/birmingham/,12.9
29,76,No hay dato,26,6,48,University of the Andes,$46.00,$0.96,$35.00,$4.60,$710,$570,$430,Bogota,"Bogota, Colombia, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, tolerance and outdoors.
Bogota is one of the top ten city matches for 1.4% of Teleport users.","8,531,700",89.16,✔ Equal,Sexual orientation only,0.80,0.16,70,44,57,75,COP,$13430.45,7%,"$13,430",10%,https://teleport.org/cities/bogota/,12.5
30,16,0.11,14,185,16,478.04,$31.00,$1.60,$36.00,$13.00,$1300,$1000,$800,Boise,"Boise, Idaho, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","395,900",72.81,✔ Equal,✖ No protections,0.65,0.06,83,76,33,30,USD,$54596.65,13%,"$54,597",5%,https://teleport.org/cities/boise/,120
31,64,0.40,1,12,26,University of Bologna,$66.00,$1.70,$45.00,$20.00,$1200,$930,$670,Bologna,"Bologna, Italy, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","521,100",0.74,✖ Illegal,✔ Legal,✔ Civil unions,0.22,103,92,65,61,EUR,$35486.17,-1%,"$35,486",11%,https://teleport.org/cities/bologna/,288
32,49,0.70,3,31,19,University of Bordeaux,$50.00,$2.60,$33.00,$18.00,$1300,$1000,$680,Bordeaux,"Bordeaux, France, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.
Bordeaux is one of the top ten city matches for 0.2% of Teleport users.","774,800",0.77,✔ Legal,✔ Legal,✔ Legal,0.20,60,66,34,97,EUR,$40374.53,2%,"$40,375",10%,https://teleport.org/cities/bordeaux/,12.8
33,103,0.16,3,35,24,Massachusetts Institute of Technology,$74.00,$2.80,$79.00,$14.00,$2900,$2500,$2100,Boston,"One of the oldest and most historic cities in the US, Boston is a center of higher education with some of the top universities in the world. It has also developed a vibrant technology scene and is home to numerous venture capital firms, all supporting high rates of innovation and entrepreneurship. Add its tolerant environment, great quality of healthcare and beautiful New England nature, and you've got an enticing city that attracts talent from around the world.
Boston is one of the top ten city matches for 12.8% of Teleport users.","5,095,400",96.88,✔ Equal,✔ Sexual orientation and gender identity,0.70,0.06,327,280,178,179,USD,$54596.65,0%,"$54,597",5%,https://teleport.org/cities/boston/,98
34,169,0.11,12,103,24,University of Colorado Boulder,$72.00,$2.60,$89.00,$13.00,$2300,$1800,$1300,Boulder,"Boulder, Colorado, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Boulder is one of the top ten city matches for 13.4% of Teleport users.","129,600",93.13,✔ Equal,✔ Sexual orientation and gender identity,0.90,0.09,65,72,14,12,USD,$54596.65,2%,"$54,597",5%,https://teleport.org/cities/boulder/,324
35,7,0.12,17,112,24,Montana State University,$20.00,$2.00,$11.00,$58.00,$1600,$1300,$980,Bozeman,"Bozeman, Montana, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.","54,600",50.11,✔ Equal,✖ No protections,0.96,No hay dato,29,0.14,0.28,0.10,USD,$54596.65,13%,"$54,597",5%,https://teleport.org/cities/bozeman/,326
36,149,0.33,2,8,34,Comenius University in Bratislava,$38.00,$0.85,$36.00,$6.90,$1000,$820,$630,Bratislava,"Bratislava, Slovakia, features a very safe living environment. Our data reflects that this city has a good ranking in housing and cost of living.
Bratislava is one of the top ten city matches for 1.7% of Teleport users.","489,100",69.26,✔ Equal,✔ Sexual orientation and gender identity,0.59,0.20,61,59,62,32,EUR,$28175.34,0%,"$28,175",10%,https://teleport.org/cities/bratislava/,12.8
37,176,0.66,0,6,17,University of Sussex,$14.00,$2.80,$80.87,$99.00,No hay dato,No hay dato,No hay dato,Brighton,"Brighton, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.","235,900",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,79,53,14,9,GBP,$39510.94,4%,"$39,511",5%,https://teleport.org/cities/brighton/,No hay dato
38,59,0.17,1,24,16,University of Queensland,$41.00,$3.40,$100.00,$14.00,$1800,$1500,$1300,Brisbane,"Brisbane, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Brisbane is one of the top ten city matches for 0.7% of Teleport users.","4,093,300",0.79,,✔ Legal,Varies by Region,0.10,135,115,55,65,AUD,$46433.30,7%,"$46,433",6%,https://teleport.org/cities/brisbane/,12.5
39,80,0.59,0,6,17,University of Bristol,$40.00,$3.00,$88.00,$15.00,$2000,$1600,$1200,Bristol,"Bristol, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and tolerance.","781,300",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,54,55,25,14,GBP,$39510.94,4%,"$39,511",5%,https://teleport.org/cities/bristol/,116
40,1,0.42,2,17,21,Masaryk University,$37.00,$0.77,$26.00,$6.10,$860,$700,$540,Brno,"Brno, Czechia, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and healthcare.","403,700",81.25,No hay dato,No hay dato,No hay dato,No hay dato,64,59,47,36,CZK,$29925.13,1%,"$29,925",6%,https://teleport.org/cities/brno/,12.9
41,189,0.69,2,17,15,KU Leuven,$49.00,$2.40,$64.00,$19.00,$1400,$1200,$880,Brussels,"By Katre Liis Kallas

Life in Brussels is a culturally rich, central-European adventure offering a high quality of life. Home to much of the European Union infrastructure, it attracts a diverse population, while maintaining its distinct identity. You can go hiking in the woods, attend various cultural events and talk to people of multiple nationalities in a single day. The key districts of Brussels are well connected by a quality transportation network, but its compact size also allows for navigation by foot and all the opportunities that creates.
Brussels is one of the top ten city matches for 0.4% of Teleport users.","2,429,800",92.26,✔ Equal,✔ Sexual orientation and gender identity,0.35,0.21,352,355,174,220,EUR,$42973.43,5%,"$42,973",8%,https://teleport.org/cities/brussels/,12.9
42,66,0.36,0,1,40,University of Bucharest,$52.00,$0.76,$17.00,$7.50,$610,$490,$370,Bucharest,"Bucharest, Romania, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Bucharest is one of the top ten city matches for 6.1% of Teleport users.","4,592,600",77.95,✔ Equal,✔ Sexual orientation and gender identity,0.94,0.20,58,30,57,88,RON,$19711.63,43%,"$19,712",7%,https://teleport.org/cities/bucharest/,12.7
43,77,0.50,1,6,31,Semmelweis University,$60.00,$0.95,$40.00,$6.50,$820,$660,$500,Budapest,"Budapest, Hungary, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, business freedom and safety.
Budapest is one of the top ten city matches for 2.4% of Teleport users.","4,936,300",80.34,✔ Equal,✔ Sexual orientation and gender identity,0.63,0.27,107,105,141,68,HUF,$24942.16,1%,"$24,942",7%,https://teleport.org/cities/budapest/,12.8
44,67,0.41,6,10,40,391.41,$52.00,$1.40,$16.00,$9.20,$750,$620,$480,Buenos-Aires,"Buenos Aires, Argentina, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, leisure & culture and tolerance.
Buenos Aires is one of the top ten city matches for 1.9% of Teleport users.","15,929,300",0.74,✔ Legal,✔ Legal,✔ Legal,0.21,108,152,117,108,ARS,$22582.50,6%,"$22,582",8%,https://teleport.org/cities/buenos-aires/,124
45,24,0.12,4,26,24,University at Buffalo,$24.00,$2.20,$68.00,$13.00,$1100,$980,$830,Buffalo,"Buffalo, New York, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","559,900",86.72,✔ Equal,Sexual orientation only,0.59,0.09,117,117,37,69,USD,$54596.65,-4%,"$54,597",5%,https://teleport.org/cities/buffalo/,54
46,81,0.35,33,4,No hay dato,Cairo University,$30.00,$1.00,$14.00,$5.80,$310,$250,$190,Cairo,"Cairo, Egypt, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.","10,660,900",0.03,✖ Illegal,✖ Illegal (imprisonment as punishment),✖ Not legal,0.13,152,124,79,38,EGP,$10877.19,8%,"$10,877",13%,https://teleport.org/cities/cairo/,12.6
47,59,0.19,2,31,5,University of Calgary,$55.00,$3.00,$83.00,$14.00,$1400,$1200,$990,Calgary,"Calgary, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Calgary is one of the top ten city matches for 4.2% of Teleport users.","1,066,700",0.80,✔ Legal,✔ Legal,✔ Legal,0.05,68,63,22,40,CAD,$44843.44,11%,"$44,843",7%,https://teleport.org/cities/calgary/,297.1
48,135,0.59,0,6,17,University of Cambridge,$58.00,$3.00,$75.00,$19.00,$2300,$1900,$1400,Cambridge,"Cambridge, United Kingdom, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, business freedom and healthcare.","162,300",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,25,23,15,8,GBP,$39510.94,6%,"$39,511",5%,https://teleport.org/cities/cambridge/,No hay dato
49,22,0.26,33,13,No hay dato,University of Cape Town,$41.00,$1.50,$30.00,$9.00,$1400,$1100,$780,cape-town,"Cape Town, South Africa, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, environmental quality and outdoors.
Cape Town is one of the top ten city matches for 0.5% of Teleport users.","3,943,400",0.32,✔ Legal,✔ Legal,✔ Legal,0.14,109,106,76,49,ZAR,$13046.07,9%,"$13,046",27%,https://teleport.org/cities/cape-town/,254
50,46,No hay dato,59,11,No hay dato,No hay dato,$4.30,$2.90,$4.50,$4.40,No hay dato,No hay dato,No hay dato,Caracas,"Caracas, Venezuela, differentiates itself with low living costs. When considering your preferences, this city does not have any category with a high rating.","3,978,700",0.51,✖ Single only,✔ Legal,✖ Unrecognized,0.12,128,124,42,24,VEF,$17694.52,127%,"$17,695",11%,https://teleport.org/cities/caracas/,260
51,80,0.59,0,6,17,Cardiff University,$39.00,$2.50,$75.00,$14.00,$1200,$1000,$790,Cardiff,"Cardiff, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.","484,300",0.76,✔ Legal,✔ Legal,✔ Legal,0.20,46,35,11,19,GBP,$39510.94,5%,"$39,511",5%,https://teleport.org/cities/cardiff/,12.9
52,87,0.16,33,5,No hay dato,No hay dato,$35.00,$1.80,$24.00,$6.50,$720,$590,$450,Casablanca,"Casablanca, Morocco, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.","3,144,900",9.29,✖ Unequal,✖ No protections,0.49,0.20,56,16,16,21,MAD,$7606.20,7%,"$7,606",10%,https://teleport.org/cities/casablanca/,No hay dato
53,20,0.11,16,108,16,478.04,$54.00,$2.10,$55.00,$12.00,$1900,$1600,$1300,Charleston,"Charleston, South Carolina, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.","406,200",70.00,✔ Equal,✖ No protections,0.45,0.09,100,86,54,33,USD,$54596.65,6%,"$54,597",5%,https://teleport.org/cities/charleston/,259
54,141,0.11,12,95,16,478.04,$28.00,$2.30,$82.00,$14.00,$1600,$1300,$1100,Charlotte,"Charlotte, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.
Charlotte is one of the top ten city matches for 2.6% of Teleport users.","964,200",67.58,Ambiguous,✖ No protections,0.68,0.07,146,137,36,32,USD,$54596.65,14%,"$54,597",5%,https://teleport.org/cities/charlotte/,111
55,8,0.12,16,96,16,478.04,$41.00,$2.30,$30.00,$13.00,$1300,$1100,$930,Chattanooga,"Chattanooga, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.","422,500",70.00,✔ Equal,✖ No protections,0.25,0.09,79,61,20,28,USD,$54596.65,3%,"$54,597",5%,https://teleport.org/cities/chattanooga/,105
56,40,0.60,0,4,No hay dato,Indian Institute of Technology Madras,$27.00,$2.00,$14.00,$3.00,No hay dato,No hay dato,No hay dato,Chennai,"Chennai, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and safety.","6,020,700",24.29,✔ Equal,Ambiguous,0.69,0.06,52,81,19,57,INR,$5855.31,6%,"$5,855",8%,https://teleport.org/cities/chennai/,12.5
57,26,0.15,1,16,47,Chiang Mai University,$39.00,$1.50,$34.00,$2.90,$600,$450,$300,Chiang-Mai,"Chiang Mai, Thailand, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.
Chiang Mai is one of the top ten city matches for 0.3% of Teleport users.","201,000",61.15,✔ Equal,✔ Sexual orientation and gender identity,0.76,0.10,102,107,77,43,THB,$14354.30,1%,"$14,354",1%,https://teleport.org/cities/chiang-mai/,12.5
58,217,0.19,9,80,24,University of Chicago,$59.00,$2.40,$94.00,$14.00,$2100,$1700,$1300,Chicago,"Chicago, Illinois, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Chicago is one of the top ten city matches for 5.5% of Teleport users.","9,999,900",96.90,✔ Equal,✔ Sexual orientation and gender identity,0.23,0.10,328,315,222,214,USD,$54596.65,1%,"$54,597",5%,https://teleport.org/cities/chicago/,84
59,25,0.13,1,7,No hay dato,40,$50.00,$1.00,$9.30,$5.20,$510,$390,$270,Chisinau,"Chisinau, Moldova, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.
Chisinau is one of the top ten city matches for 2.1% of Teleport users.","650,900",71.12,✔ Equal,Ambiguous,0.61,0.20,33,22,16,6,MDL,$4979.33,0%,"$4,979",6%,https://teleport.org/cities/chisinau/,No hay dato
