,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Large_apartment,Medium_apartment,Small_apartment,Cities,Description,Poblacion,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,GDP_per_capita,Growth_percentage,Unemployment_percentage,Url,Average_Annual_percent_sunshine,Airport_score,Coordenadas
30,16,0.11,14,185,16,No hay dato,31.0,1.6,36.0,13.0,1300,1000,800,Boise,"Boise, Idaho, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.",395900,72.81, Equal, No protections,0.65,0.06,83,76,33,30,USD,54596.65,0.13,0.05,https://teleport.org/cities/boise/,120.0,0.15,"(43.6166163, -116.200886)"
31,64,0.4,1,12,26,University of Bologna,66.0,1.7,45.0,20.0,1200,930,670,Bologna,"Bologna, Italy, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",521100,74.0, Illegal, Legal, Civil unions,0.22,103,92,65,61,EUR,35486.17,-0.01,0.11,https://teleport.org/cities/bologna/,288.0,0.33,"(44.4938203, 11.3426327)"
32,49,0.7,3,31,19,University of Bordeaux,50.0,2.6,33.0,18.0,1300,1000,680,Bordeaux,"Bordeaux, France, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.
Bordeaux is one of the top ten city matches for 0.2% of Teleport users.",774800,77.0, Legal, Legal, Legal,0.2,60,66,34,97,EUR,40374.53,0.02,0.1,https://teleport.org/cities/bordeaux/,12.8,0.28,"(44.841225, -0.5800364)"
33,103,0.16,3,35,24,Massachusetts Institute of Technology,74.0,2.8,79.0,14.0,2900,2500,2100,Boston,"One of the oldest and most historic cities in the US, Boston is a center of higher education with some of the top universities in the world. It has also developed a vibrant technology scene and is home to numerous venture capital firms, all supporting high rates of innovation and entrepreneurship. Add its tolerant environment, great quality of healthcare and beautiful New England nature, and you've got an enticing city that attracts talent from around the world.
Boston is one of the top ten city matches for 12.8% of Teleport users.",5095400,96.88, Equal, Sexual orientation and gender identity,0.70,0.06,327,280,178,179,USD,54596.65,0.0,0.05,https://teleport.org/cities/boston/,98.0,0.48,"(42.3602534, -71.0582912)"
34,169,0.11,12,103,24,University of Colorado Boulder,72.0,2.6,89.0,13.0,2300,1800,1300,Boulder,"Boulder, Colorado, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Boulder is one of the top ten city matches for 13.4% of Teleport users.",129600,93.13, Equal, Sexual orientation and gender identity,0.90,0.09,65,72,14,12,USD,54596.65,0.02,0.05,https://teleport.org/cities/boulder/,324.0,0.73,"(40.0149856, -105.270545)"
35,7,0.12,17,112,24,Montana State University,20.0,2.0,11.0,58.0,1600,1300,980,Bozeman,"Bozeman, Montana, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.",54600,50.11, Equal, No protections,0.96,0.0,29,0,0,0,USD,54596.65,0.13,0.05,https://teleport.org/cities/bozeman/,326.0,0.12,"(45.6794293, -111.044047)"
36,149,0.33,2,8,34,Comenius University in Bratislava,38.0,0.85,36.0,6.9,1000,820,630,Bratislava,"Bratislava, Slovakia, features a very safe living environment. Our data reflects that this city has a good ranking in housing and cost of living.
Bratislava is one of the top ten city matches for 1.7% of Teleport users.",489100,69.26, Equal, Sexual orientation and gender identity,0.59,0.2,61,59,62,32,EUR,28175.34,0.0,0.1,https://teleport.org/cities/bratislava/,12.8,0.65,"(48.1516988, 17.1093063)"
37,176,0.66,0,6,17,University of Sussex,14.0,2.8,80.87,99.0,0,0,0,Brighton,"Brighton, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.",235900,76.0, Legal, Legal, Legal,0.2,79,53,14,9,GBP,39510.94,0.04,0.05,https://teleport.org/cities/brighton/,0.0,1.0,"(50.8214626, -0.1400561)"
38,59,0.17,1,24,16,University of Queensland,41.0,3.4,100.0,14.0,1800,1500,1300,Brisbane,"Brisbane, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Brisbane is one of the top ten city matches for 0.7% of Teleport users.",4093300,79.0,No hay dato, Legal,Varies by Region,0.1,135,115,55,65,AUD,46433.3,0.07,0.06,https://teleport.org/cities/brisbane/,12.5,0.31,"(-27.4689682, 153.0234991)"
39,80,0.59,0,6,17,University of Bristol,40.0,3.0,88.0,15.0,2000,1600,1200,Bristol,"Bristol, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and tolerance.",781300,76.0, Legal, Legal, Legal,0.2,54,55,25,14,GBP,39510.94,0.04,0.05,https://teleport.org/cities/bristol/,116.0,0.39,"(51.4538022, -2.5972985)"
40,1,0.42,2,17,21,Masaryk University,37.0,0.77,26.0,6.1,860,700,540,Brno,"Brno, Czechia, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and healthcare.",403700,81.25,No hay dato,No hay dato,No hay dato,0.0,64,59,47,36,CZK,29925.13,0.01,0.06,https://teleport.org/cities/brno/,12.9,0.1,"(49.1922443, 16.6113382)"
41,189,0.69,2,17,15,KU Leuven,49.0,2.4,64.0,19.0,1400,1200,880,Brussels,"By Katre Liis Kallas

Life in Brussels is a culturally rich, central-European adventure offering a high quality of life. Home to much of the European Union infrastructure, it attracts a diverse population, while maintaining its distinct identity. You can go hiking in the woods, attend various cultural events and talk to people of multiple nationalities in a single day. The key districts of Brussels are well connected by a quality transportation network, but its compact size also allows for navigation by foot and all the opportunities that creates.
Brussels is one of the top ten city matches for 0.4% of Teleport users.",2429800,92.26, Equal, Sexual orientation and gender identity,0.35,0.21,352,355,174,220,EUR,42973.43,0.05,0.08,https://teleport.org/cities/brussels/,12.9,0.8,"(50.8465573, 4.351697)"
42,66,0.36,0,1,40,University of Bucharest,52.0,0.76,17.0,7.5,610,490,370,Bucharest,"Bucharest, Romania, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Bucharest is one of the top ten city matches for 6.1% of Teleport users.",4592600,77.95, Equal, Sexual orientation and gender identity,0.94,0.2,58,30,57,88,RON,19711.63,0.43,0.07,https://teleport.org/cities/bucharest/,12.7,0.34,"(44.4361414, 26.1027202)"
43,77,0.5,1,6,31,Semmelweis University,60.0,0.95,40.0,6.5,820,660,500,Budapest,"Budapest, Hungary, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, business freedom and safety.
Budapest is one of the top ten city matches for 2.4% of Teleport users.",4936300,80.34, Equal, Sexual orientation and gender identity,0.63,0.27,107,105,141,68,HUF,24942.16,0.01,0.07,https://teleport.org/cities/budapest/,12.8,0.38,"(47.4979937, 19.0403594)"
44,67,0.41,6,10,40,No hay dato,52.0,1.4,16.0,9.2,750,620,480,Buenos-Aires,"Buenos Aires, Argentina, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, leisure & culture and tolerance.
Buenos Aires is one of the top ten city matches for 1.9% of Teleport users.",15929300,74.0, Legal, Legal, Legal,0.21,108,152,117,108,ARS,22582.5,0.06,0.08,https://teleport.org/cities/buenos-aires/,124.0,0.34,"(-34.6075682, -58.4370894)"
45,24,0.12,4,26,24,University at Buffalo,24.0,2.2,68.0,13.0,1100,980,830,Buffalo,"Buffalo, New York, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",559900,86.72, Equal,Sexual orientation only,0.59,0.09,117,117,37,69,USD,54596.65,-0.04,0.05,https://teleport.org/cities/buffalo/,54.0,0.18,"(42.8867166, -78.8783922)"
46,81,0.35,33,4,0,Cairo University,30.0,1.0,14.0,5.8,310,250,190,Cairo,"Cairo, Egypt, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.",10660900,3.0, Illegal, Illegal (imprisonment as punishment), Not legal,0.13,152,124,79,38,EGP,10877.19,0.08,0.13,https://teleport.org/cities/cairo/,12.6,0.4,"(30.0443879, 31.2357257)"
47,59,0.19,2,31,5,University of Calgary,55.0,3.0,83.0,14.0,1400,1200,990,Calgary,"Calgary, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Calgary is one of the top ten city matches for 4.2% of Teleport users.",1066700,80.0, Legal, Legal, Legal,0.05,68,63,22,40,CAD,44843.44,0.11,0.07,https://teleport.org/cities/calgary/,297.1,0.31,"(51.0460954, -114.065465)"
48,135,0.59,0,6,17,University of Cambridge,58.0,3.0,75.0,19.0,2300,1900,1400,Cambridge,"Cambridge, United Kingdom, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, business freedom and healthcare.",162300,76.0, Legal, Legal, Legal,0.2,25,23,15,8,GBP,39510.94,0.06,0.05,https://teleport.org/cities/cambridge/,0.0,0.79,"(52.2055314, 0.1186637)"
49,22,0.26,33,13,0,University of Cape Town,41.0,1.5,30.0,9.0,1400,1100,780,cape-town,"Cape Town, South Africa, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, environmental quality and outdoors.
Cape Town is one of the top ten city matches for 0.5% of Teleport users.",3943400,32.0, Legal, Legal, Legal,0.14,109,106,76,49,ZAR,13046.07,0.09,0.27,https://teleport.org/cities/cape-town/,254.0,0.17,"(-33.928992, 18.417396)"
50,46,0.0,59,11,0,No hay dato,4.3,2.9,4.5,4.4,0,0,0,Caracas,"Caracas, Venezuela, differentiates itself with low living costs. When considering your preferences, this city does not have any category with a high rating.",3978700,51.0, Single only, Legal, Unrecognized,0.12,128,124,42,24,VEF,17694.52,1.27,0.11,https://teleport.org/cities/caracas/,260.0,0.26,"(10.506098, -66.9146017)"
51,80,0.59,0,6,17,Cardiff University,39.0,2.5,75.0,14.0,1200,1000,790,Cardiff,"Cardiff, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",484300,76.0, Legal, Legal, Legal,0.2,46,35,11,19,GBP,39510.94,0.05,0.05,https://teleport.org/cities/cardiff/,12.9,0.39,"(51.4816546, -3.1791934)"
52,87,0.16,33,5,0,No hay dato,35.0,1.8,24.0,6.5,720,590,450,Casablanca,"Casablanca, Morocco, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.",3144900,9.29, Unequal, No protections,0.49,0.2,56,16,16,21,MAD,7606.2,0.07,0.1,https://teleport.org/cities/casablanca/,0.0,0.42,"(33.5950627, -7.6187768)"
53,20,0.11,16,108,16,No hay dato,54.0,2.1,55.0,12.0,1900,1600,1300,Charleston,"Charleston, South Carolina, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.",406200,70.0, Equal, No protections,0.45,0.09,100,86,54,33,USD,54596.65,0.06,0.05,https://teleport.org/cities/charleston/,259.0,0.17,"(32.7876012, -79.9402728)"
54,141,0.11,12,95,16,No hay dato,28.0,2.3,82.0,14.0,1600,1300,1100,Charlotte,"Charlotte, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.
Charlotte is one of the top ten city matches for 2.6% of Teleport users.",964200,67.58,Ambiguous, No protections,0.68,0.07,146,137,36,32,USD,54596.65,0.14,0.05,https://teleport.org/cities/charlotte/,111.0,0.62,"(35.2272086, -80.8430827)"
55,8,0.12,16,96,16,No hay dato,41.0,2.3,30.0,13.0,1300,1100,930,Chattanooga,"Chattanooga, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.",422500,70.0, Equal, No protections,0.25,0.09,79,61,20,28,USD,54596.65,0.03,0.05,https://teleport.org/cities/chattanooga/,105.0,0.12,"(35.0457219, -85.3094883)"
56,40,0.6,0,4,0,Indian Institute of Technology Madras,27.0,2.0,14.0,3.0,0,0,0,Chennai,"Chennai, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and safety.",6020700,24.29, Equal,Ambiguous,0.69,0.06,52,81,19,57,INR,5855.31,0.06,0.08,https://teleport.org/cities/chennai/,12.5,0.24,"(13.0836939, 80.270186)"
57,26,0.15,1,16,47,Chiang Mai University,39.0,1.5,34.0,2.9,600,450,300,Chiang-Mai,"Chiang Mai, Thailand, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.
Chiang Mai is one of the top ten city matches for 0.3% of Teleport users.",201000,61.15, Equal, Sexual orientation and gender identity,0.76,0.1,102,107,77,43,THB,14354.3,0.01,0.01,https://teleport.org/cities/chiang-mai/,12.5,0.19,"(18.7882778, 98.9858802)"
58,217,0.19,9,80,24,University of Chicago,59.0,2.4,94.0,14.0,2100,1700,1300,Chicago,"Chicago, Illinois, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Chicago is one of the top ten city matches for 5.5% of Teleport users.",9999900,96.9, Equal, Sexual orientation and gender identity,0.23,0.1,328,315,222,214,USD,54596.65,0.01,0.05,https://teleport.org/cities/chicago/,84.0,0.91,"(41.8755616, -87.6244212)"
