,Climate,Growth_percentage,GDP_per_capita,Unemployment_percentage,Homosexuality_acceptance,LGBT_adoption_rights,LGBT_homosexuality_rights,LGBT_marriage_rights,VAT_Sales_Tax,Art_galleries,Concert_venues,Museums,Sport_venues,Currency_for_urban_area,Monthly_Fitness_Club_Membership,Beer,Monthly_Public_Transport,Lunch,Airport_score,Airport_hub,Intercity_train_connectivity,Gun_related_deaths,Guns_per_residents,Pisa_ranking,Best_university,Large_apartment,Medium_apartment,Small_apartment,Description,Poblacion,Cities
15,207.0,0.08,10.641,0.06,3.0,Married couples only,Varies by Region, Unrecognized,0.1,171,157,80,68,IDR,16.0,2.1,4.2,43.0,0.25,42,0.14,1,1,48,No hay dato,290,230,180,"Bali, Indonesia, features a very safe living environment. This urban area is consistently ahead in outdoors.
Bali is one of the top ten city matches for 0.7% of Teleport users.",1356600,Bali
16,0.0,0.8,0.0,0.0,96.88,No hay dato,No hay dato,No hay dato,0.0,0,0,0,0,USD,59.0,2.1,68.0,13.0,0.25,0,0.0,10,119,24,Johns Hopkins University,1900,1600,1200,This urban area is consistently ahead in healthcare.,38,Baltimore
17,12.5,0.1,14.354,0.01,61.15, Equal, Sexual orientation and gender identity,0.59,0.1,291,295,304,196,THB,77.0,1.8,35.0,4.2,0.62,139,0.21,1,16,47,Mahidol University,1300,910,540,"Bangkok, Thailand, features a wide variety of free time activities. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Bangkok is one of the top ten city matches for 2.7% of Teleport users.",9052100,Bangkok
18,73.0,0.0,33.711,0.2,88.0, Legal, Legal, Legal,0.21,98,169,89,141,EUR,54.0,0.98,62.0,14.0,0.71,163,0.46,1,10,22,Autonomous University of Barcelona,1500,1200,980,"Barcelona offers an engaging mix of relaxed lifestyle and innovative business environment, making it one of the most attractive startup scenes in Europe. The city also boasts a great cultural heritage and a modern, active social scene that highlights sports, city beaches and excellent local food. Adding the affordable high quality health services and good travel connections, and Barcelona will appeal to many.
Barcelona is one of the top ten city matches for 2.3% of Teleport users.",6626600,Barcelona
19,12.7,0.18,12.88,0.04,21.0, Illegal, Legal, Not legal,0.17,60,65,59,55,CNY,94.0,0.9,30.0,6.7,0.9,215,0.5,0,5,8,Peking University,1700,1300,860,"Beijing, China, is among the leading cities with a higher number of accelerators or available funding. According to our city rankings, this is a good place to live with high ratings in cost of living, travel connectivity and safety.
Beijing is one of the top ten city matches for 2.5% of Teleport users.",12377000,Beijing
20,12.6,0.07,17.986,0.0,18.0, Legal,Ambiguous, Unrecognized,0.1,153,86,16,3,LBP,73.0,1.3,62.0,19.0,0.26,45,0.0,1,21,51,American University of Beirut,1400,1000,720,"Beirut, Lebanon, is characterized by low taxes. Our data reflects that this city has a good ranking in housing and safety.",3176800,Beirut
21,209.5,0.01,39.511,0.05,76.0, Legal, Legal, Legal,0.2,58,47,17,13,GBP,40.0,2.4,83.0,15.0,0.23,38,0.59,0,6,17,Queen’s University Belfast,1100,950,780,"Belfast, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",344600,Belfast
22,75.0,-0.01,13.329,0.19,75.85, Equal, Sexual orientation and gender identity,0.71,0.2,39,63,29,90,RSD,33.0,0.73,31.0,9.4,0.28,51,0.14,3,58,0,University of Belgrade,620,490,350,"Belgrade, Serbia, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.
Belgrade is one of the top ten city matches for 2.0% of Teleport users.",1737800,Belgrade
23,12.5,0.16,5.855,0.08,24.29, Equal,Ambiguous,0.48,0.06,63,59,16,63,INR,30.0,1.6,24.0,3.8,0.24,40,0.57,0,4,0,Indian Institute of Science,430,330,230,"Bengaluru, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and venture capital.
Bengaluru is one of the top ten city matches for 2.0% of Teleport users.",5498100,Bengaluru
24,113.0,0.07,66.937,0.05,93.13, Equal, Sexual orientation and gender identity,0.57,0.25,34,35,36,28,NOK,54.0,4.0,90.0,22.0,0.28,49,0.37,2,31,13,University of Bergen,1800,1500,1200,"Bergen, Norway, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.",271500,Bergen
25,160.0,0.0,45.888,0.04,87.0, Step-child adoption only, Legal, Civil unions,0.19,90,109,159,48,EUR,41.0,1.2,100.0,10.0,0.63,142,0.78,1,30,10,Humboldt University of Berlin,1500,1200,850,"Berlin is a sprawling, diverse metropolis, home to people from around the world. Although it is roughly nine times the size of Paris, Berlin's key districts are well-connected by public transport or cycling roads, and many even close enough for walking. The flexible work environment combined with easy access to venture capital attracts young people and entrepreneurs, making Berlin one of the most vibrant startup scenes in Europe.
Berlin is one of the top ten city matches for 30.8% of Teleport users.",8690300,Berlin
26,213.0,0.01,58.087,0.03,81.79, Equal, Sexual orientation and gender identity,0.88,0.08,28,54,32,18,CHF,110.0,1.7,91.0,23.0,0.35,152,0.7,3,24,11,University of Bern,2200,1700,1200,"Bern, Switzerland, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in business freedom, healthcare and environmental quality.
Bern is one of the top ten city matches for 2.3% of Teleport users.",233100,Bern
27,35.0,0.82,0.0,0.0,88.0, Legal, Legal, Legal,0.0,43,52,20,17,EUR,56.0,1.1,51.0,15.0,0.25,42,0.59,1,10,17,No hay dato,1300,1100,840,"Bilbao, Spain, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, business freedom and healthcare.",42,Bilbao
28,12.9,0.03,39.511,0.05,76.0, Legal, Legal, Legal,0.2,83,96,43,92,GBP,34.0,3.0,82.0,16.0,0.48,102,0.69,0,6,17,University of Birmingham,1600,1500,1300,"Birmingham, United Kingdom, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in safety and healthcare.
Birmingham is one of the top ten city matches for 0.6% of Teleport users.",2715300,Birmingham
29,12.5,0.07,13.43,0.1,89.16, Equal,Sexual orientation only,0.80,0.16,70,44,57,75,COP,46.0,0.96,35.0,4.6,0.38,76,0.0,26,6,48,University of the Andes,710,570,430,"Bogota, Colombia, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, tolerance and outdoors.
Bogota is one of the top ten city matches for 1.4% of Teleport users.",8531700,Bogota
30,120.0,0.13,54.597,0.05,72.81, Equal, No protections,0.65,0.06,83,76,33,30,USD,31.0,1.6,36.0,13.0,0.15,16,0.11,14,185,16,No hay dato,1300,1000,800,"Boise, Idaho, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.",395900,Boise
31,288.0,-0.01,35.486,0.11,74.0, Illegal, Legal, Civil unions,0.22,103,92,65,61,EUR,66.0,1.7,45.0,20.0,0.33,64,0.4,1,12,26,University of Bologna,1200,930,670,"Bologna, Italy, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",521100,Bologna
32,12.8,0.02,40.375,0.1,77.0, Legal, Legal, Legal,0.2,60,66,34,97,EUR,50.0,2.6,33.0,18.0,0.28,49,0.7,3,31,19,University of Bordeaux,1300,1000,680,"Bordeaux, France, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.
Bordeaux is one of the top ten city matches for 0.2% of Teleport users.",774800,Bordeaux
33,98.0,0.0,54.597,0.05,96.88, Equal, Sexual orientation and gender identity,0.70,0.06,327,280,178,179,USD,74.0,2.8,79.0,14.0,0.48,103,0.16,3,35,24,Massachusetts Institute of Technology,2900,2500,2100,"One of the oldest and most historic cities in the US, Boston is a center of higher education with some of the top universities in the world. It has also developed a vibrant technology scene and is home to numerous venture capital firms, all supporting high rates of innovation and entrepreneurship. Add its tolerant environment, great quality of healthcare and beautiful New England nature, and you've got an enticing city that attracts talent from around the world.
Boston is one of the top ten city matches for 12.8% of Teleport users.",5095400,Boston
34,324.0,0.02,54.597,0.05,93.13, Equal, Sexual orientation and gender identity,0.90,0.09,65,72,14,12,USD,72.0,2.6,89.0,13.0,0.73,169,0.11,12,103,24,University of Colorado Boulder,2300,1800,1300,"Boulder, Colorado, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.
Boulder is one of the top ten city matches for 13.4% of Teleport users.",129600,Boulder
35,326.0,0.13,54.597,0.05,50.11, Equal, No protections,0.96,0.0,29,0,0,0,USD,20.0,2.0,11.0,58.0,0.12,7,0.12,17,112,24,Montana State University,1600,1300,980,"Bozeman, Montana, is characterized by a clean environment. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.",54600,Bozeman
36,12.8,0.0,28.175,0.1,69.26, Equal, Sexual orientation and gender identity,0.59,0.2,61,59,62,32,EUR,38.0,0.85,36.0,6.9,0.65,149,0.33,2,8,34,Comenius University in Bratislava,1000,820,630,"Bratislava, Slovakia, features a very safe living environment. Our data reflects that this city has a good ranking in housing and cost of living.
Bratislava is one of the top ten city matches for 1.7% of Teleport users.",489100,Bratislava
37,0.0,0.04,39.511,0.05,76.0, Legal, Legal, Legal,0.2,79,53,14,9,GBP,14.0,2.8,80.87,99.0,1.0,176,0.66,0,6,17,University of Sussex,0,0,0,"Brighton, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.",235900,Brighton
38,12.5,0.07,46.433,0.06,79.0,No hay dato, Legal,Varies by Region,0.1,135,115,55,65,AUD,41.0,3.4,100.0,14.0,0.31,59,0.17,1,24,16,University of Queensland,1800,1500,1300,"Brisbane, Australia, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Brisbane is one of the top ten city matches for 0.7% of Teleport users.",4093300,Brisbane
39,116.0,0.04,39.511,0.05,76.0, Legal, Legal, Legal,0.2,54,55,25,14,GBP,40.0,3.0,88.0,15.0,0.39,80,0.59,0,6,17,University of Bristol,2000,1600,1200,"Bristol, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and tolerance.",781300,Bristol
40,12.9,0.01,29.925,0.06,81.25,No hay dato,No hay dato,No hay dato,0.0,64,59,47,36,CZK,37.0,0.77,26.0,6.1,0.1,1,0.42,2,17,21,Masaryk University,860,700,540,"Brno, Czechia, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and healthcare.",403700,Brno
41,12.9,0.05,42.973,0.08,92.26, Equal, Sexual orientation and gender identity,0.35,0.21,352,355,174,220,EUR,49.0,2.4,64.0,19.0,0.8,189,0.69,2,17,15,KU Leuven,1400,1200,880,"By Katre Liis Kallas

Life in Brussels is a culturally rich, central-European adventure offering a high quality of life. Home to much of the European Union infrastructure, it attracts a diverse population, while maintaining its distinct identity. You can go hiking in the woods, attend various cultural events and talk to people of multiple nationalities in a single day. The key districts of Brussels are well connected by a quality transportation network, but its compact size also allows for navigation by foot and all the opportunities that creates.
Brussels is one of the top ten city matches for 0.4% of Teleport users.",2429800,Brussels
42,12.7,0.43,19.712,0.07,77.95, Equal, Sexual orientation and gender identity,0.94,0.2,58,30,57,88,RON,52.0,0.76,17.0,7.5,0.34,66,0.36,0,1,40,University of Bucharest,610,490,370,"Bucharest, Romania, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and safety.
Bucharest is one of the top ten city matches for 6.1% of Teleport users.",4592600,Bucharest
43,12.8,0.01,24.942,0.07,80.34, Equal, Sexual orientation and gender identity,0.63,0.27,107,105,141,68,HUF,60.0,0.95,40.0,6.5,0.38,77,0.5,1,6,31,Semmelweis University,820,660,500,"Budapest, Hungary, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, business freedom and safety.
Budapest is one of the top ten city matches for 2.4% of Teleport users.",4936300,Budapest
44,124.0,0.06,22.582,0.08,74.0, Legal, Legal, Legal,0.21,108,152,117,108,ARS,52.0,1.4,16.0,9.2,0.34,67,0.41,6,10,40,No hay dato,750,620,480,"Buenos Aires, Argentina, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, leisure & culture and tolerance.
Buenos Aires is one of the top ten city matches for 1.9% of Teleport users.",15929300,Buenos-Aires
45,54.0,-0.04,54.597,0.05,86.72, Equal,Sexual orientation only,0.59,0.09,117,117,37,69,USD,24.0,2.2,68.0,13.0,0.18,24,0.12,4,26,24,University at Buffalo,1100,980,830,"Buffalo, New York, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",559900,Buffalo
46,12.6,0.08,10.877,0.13,3.0, Illegal, Illegal (imprisonment as punishment), Not legal,0.13,152,124,79,38,EGP,30.0,1.0,14.0,5.8,0.4,81,0.35,33,4,0,Cairo University,310,250,190,"Cairo, Egypt, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.",10660900,Cairo
47,297.1,0.11,44.843,0.07,80.0, Legal, Legal, Legal,0.05,68,63,22,40,CAD,55.0,3.0,83.0,14.0,0.31,59,0.19,2,31,5,University of Calgary,1400,1200,990,"Calgary, Canada, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in safety, healthcare and environmental quality.
Calgary is one of the top ten city matches for 4.2% of Teleport users.",1066700,Calgary
48,0.0,0.06,39.511,0.05,76.0, Legal, Legal, Legal,0.2,25,23,15,8,GBP,58.0,3.0,75.0,19.0,0.79,135,0.59,0,6,17,University of Cambridge,2300,1900,1400,"Cambridge, United Kingdom, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, business freedom and healthcare.",162300,Cambridge
49,254.0,0.09,13.046,0.27,32.0, Legal, Legal, Legal,0.14,109,106,76,49,ZAR,41.0,1.5,30.0,9.0,0.17,22,0.26,33,13,0,University of Cape Town,1400,1100,780,"Cape Town, South Africa, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, environmental quality and outdoors.
Cape Town is one of the top ten city matches for 0.5% of Teleport users.",3943400,cape-town
50,260.0,1.27,17.695,0.11,51.0, Single only, Legal, Unrecognized,0.12,128,124,42,24,VEF,4.3,2.9,4.5,4.4,0.26,46,0.0,59,11,0,No hay dato,0,0,0,"Caracas, Venezuela, differentiates itself with low living costs. When considering your preferences, this city does not have any category with a high rating.",3978700,Caracas
51,12.9,0.05,39.511,0.05,76.0, Legal, Legal, Legal,0.2,46,35,11,19,GBP,39.0,2.5,75.0,14.0,0.39,80,0.59,0,6,17,Cardiff University,1200,1000,790,"Cardiff, United Kingdom, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",484300,Cardiff
52,0.0,0.07,7.606,0.1,9.29, Unequal, No protections,0.49,0.2,56,16,16,21,MAD,35.0,1.8,24.0,6.5,0.42,87,0.16,33,5,0,No hay dato,720,590,450,"Casablanca, Morocco, differentiates itself with low living costs. Our data reflects that this city has a good ranking in housing and safety.",3144900,Casablanca
53,259.0,0.06,54.597,0.05,70.0, Equal, No protections,0.45,0.09,100,86,54,33,USD,54.0,2.1,55.0,12.0,0.17,20,0.11,16,108,16,No hay dato,1900,1600,1300,"Charleston, South Carolina, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.",406200,Charleston
54,111.0,0.14,54.597,0.05,67.58,Ambiguous, No protections,0.68,0.07,146,137,36,32,USD,28.0,2.3,82.0,14.0,0.62,141,0.11,12,95,16,No hay dato,1600,1300,1100,"Charlotte, North Carolina, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.
Charlotte is one of the top ten city matches for 2.6% of Teleport users.",964200,Charlotte
55,105.0,0.03,54.597,0.05,70.0, Equal, No protections,0.25,0.09,79,61,20,28,USD,41.0,2.3,30.0,13.0,0.12,8,0.12,16,96,16,No hay dato,1300,1100,930,"Chattanooga, Tennessee, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.",422500,Chattanooga
56,12.5,0.06,5.855,0.08,24.29, Equal,Ambiguous,0.69,0.06,52,81,19,57,INR,27.0,2.0,14.0,3.0,0.24,40,0.6,0,4,0,Indian Institute of Technology Madras,350,280,200,"Chennai, India, differentiates itself with low living costs. According to our city rankings, this is a good place to live with high ratings in housing, startups and safety.",6020700,Chennai
57,12.5,0.01,14.354,0.01,61.15, Equal, Sexual orientation and gender identity,0.76,0.1,102,107,77,43,THB,39.0,1.5,34.0,2.9,0.19,26,0.15,1,16,47,Chiang Mai University,600,450,300,"Chiang Mai, Thailand, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and taxation.
Chiang Mai is one of the top ten city matches for 0.3% of Teleport users.",201000,Chiang-Mai
58,84.0,0.01,54.597,0.05,96.9, Equal, Sexual orientation and gender identity,0.23,0.1,328,315,222,214,USD,59.0,2.4,94.0,14.0,0.91,217,0.19,9,80,24,University of Chicago,2100,1700,1300,"Chicago, Illinois, is among the best cities with a vibrant startup scene. According to our city rankings, this is a good place to live with high ratings in venture capital, business freedom and healthcare.
Chicago is one of the top ten city matches for 5.5% of Teleport users.",9999900,Chicago
59,0.0,0.0,4.979,0.06,71.12, Equal,Ambiguous,0.61,0.2,33,22,16,6,MDL,50.0,1.0,9.3,5.2,0.19,25,0.13,1,7,0,No hay dato,510,390,270,"Chisinau, Moldova, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, safety and tolerance.
Chisinau is one of the top ten city matches for 2.1% of Teleport users.",650900,Chisinau
60,238.3,0.01,35.152,0.05,93.65, Equal, Sexual orientation and gender identity,0.72,0.15,41,29,11,14,NZD,42.0,2.7,81.0,12.0,0.17,20,0.0,1,23,12,University of Canterbury,1400,1100,870,"Christchurch, New Zealand, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, safety and healthcare.",383100,Christchurch
61,82.0,0.01,54.597,0.05,66.79, Equal, No protections,0.39,0.07,189,189,79,79,USD,31.0,2.1,100.0,12.0,0.27,48,0.11,11,91,24,University of Cincinnati,1400,1100,840,"Cincinnati, Ohio, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.
Cincinnati is one of the top ten city matches for 0.2% of Teleport users.",1225000,Cincinnati
62,66.0,-0.04,54.597,0.05,66.79, Equal, No protections,0.28,0.08,189,124,71,66,USD,36.0,1.7,91.0,13.0,0.3,56,0.11,11,91,24,Case Western Reserve University,1200,970,770,"Cleveland, Ohio, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in housing, healthcare and environmental quality.",1781100,Cleveland
63,12.8,-0.41,19.712,0.07,77.95, Equal, Sexual orientation and gender identity,0.93,0.2,53,61,23,13,RON,36.0,0.79,16.0,6.2,0.16,18,0.19,0,1,40,Babeş-Bolyai University,630,490,360,"Cluj-Napoca, Romania, features a very safe living environment. According to our city rankings, this is a good place to live with high ratings in housing, cost of living and taxation.",349500,Cluj-Napoca
64,138.0,0.03,45.888,0.04,87.0, Step-child adoption only, Legal, Civil unions,0.19,88,91,64,37,EUR,34.0,1.3,110.0,13.0,0.73,169,0.73,1,30,10,University of Cologne,1600,1200,820,"Cologne, Germany, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in travel connectivity, safety and healthcare.",1941600,Cologne
65,127.0,0.08,54.597,0.05,93.13, Equal, Sexual orientation and gender identity,0.89,0.08,90,77,37,22,USD,41.0,2.2,64.0,14.0,0.13,11,0.12,12,103,16,No hay dato,1500,1200,890,"Colorado Springs, Colorado, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in healthcare, environmental quality and tolerance.",551500,Colorado-Springs
66,72.0,0.05,54.597,0.05,66.79, Equal, No protections,0.51,0.07,135,97,81,82,USD,42.0,2.3,65.0,13.0,0.22,34,0.11,11,91,24,Ohio State University,1400,1100,890,"Columbus, Ohio, is among the top cities with a free business environment. Our data reflects that this city has a good ranking in healthcare and environmental quality.
Columbus is one of the top ten city matches for 0.9% of Teleport users.",1485400,Columbus
67,13.0,0.08,44.343,0.04,93.03, Equal, Sexual orientation and gender identity,0.86,0.25,105,153,55,113,DKK,38.0,1.8,76.0,19.0,0.57,126,0.69,1,12,13,University of Copenhagen,2300,1700,1200,"By Maria Rahamägi

Copenhagen is a city with a small-town vibe. The city is best explored by bike using one of the world's most developed bike-path system and its countless cafés, bars, and parks are never far away. The high standard of living, easy access to Internet, modern metro system and a thriving business environment attract talent from all over the world.
Copenhagen is one of the top ten city matches for 15.3% of Teleport users.",1446900,Copenhagen
68,161.0,-0.02,49.195,0.08,85.91, Equal,Sexual orientation only,0.85,0.23,19,26,9,11,EUR,52.0,2.6,95.0,13.0,0.2,30,0.27,1,4,9,University College Cork,1700,1400,1200,"Cork, Ireland, is among the leading cities with a speedy internet access. According to our city rankings, this is a good place to live with high ratings in business freedom, safety and healthcare.",190400,Cork
69,228.0,0.04,16.096,0.13,60.0, Legal, Legal, Legal,0.42,153,130,87,107,BRL,36.0,1.3,55.0,5.9,0.18,23,0.0,21,8,52,Federal University of Paraná (UFPR),560,450,350,"Curitiba, Brazil, is characterized by reasonably priced housing. According to our city rankings, this is a good place to live with high ratings in cost of living, environmental quality and leisure & culture.",2049100,Curitiba
70,136.0,0.11,54.597,0.05,64.44, Equal, No protections,0.41,0.08,265,302,141,183,USD,44.0,2.3,76.0,13.0,0.81,190,0.14,11,123,24,University of Texas at Dallas,1800,1400,1100,"Dallas, Texas, is among the top cities with a free business environment. According to our city rankings, this is a good place to live with high ratings in startups, healthcare and environmental quality.
Dallas is one of the top ten city matches for 6.0% of Teleport users.",6484300,Dallas
